filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
41;00000922;647255;CURCUMA LONGA 130MG SELENIO VI;;1;202607;20;
16;00073763;584656;RUFFLES SAL 32G               ;;4;202608;4;
11;00055036;588582;BARRA WOD GOURMET BRIGADEIRO  ;;0;202607;5;
76;00069364;588582;BARRA WOD GOURMET BRIGADEIRO  ;;1;202607;5;
43;00009115;588590;BARRA WOD GOURMET COOKIES CREA;;12;202608;5;
11;00059169;588590;BARRA WOD GOURMET COOKIES CREA;;0;202608;5;
24;00073731;588590;BARRA WOD GOURMET COOKIES CREA;;4;202608;5;
24;00020357;594028;WHEY PROTEIN CHOC C/ CREATINA ;;0;202608;50;
5;00058644;594028;WHEY PROTEIN CHOC C/ CREATINA ;;0;202608;50;
76;00073639;576447;CHOC LINDT CAIXA LINDOR 112GR ;;2;202607;40;
53;00016118;640870;BATOM BAUNY 160               ;;3;202608;12;
53;00023294;642876;ESM BAUNY JADE                ;;1;202608;7;
76;00069397;644070;PASTA DE AMENDOIM COOKIES & CR;;0;202607;15;
76;00073407;637595;AU BR CA MARACUJA SHAMPOO 300M;;0;202608;15;
76;00078446;637371;AU BR BRESIL CREME CORPORAL 20;;5;202608;30;
10;00018689;692160;ILUMINADOR SOLTO LUXURY COR2  ;;2;202608;4;
53;00079619;692160;ILUMINADOR SOLTO LUXURY COR2  ;;5;202608;4;
50;00033109;687657;COLAGENO HIDROL ABACAXI/HOR 25;;2;202608;30;
74;00034286;687665;COLAGENO HIDROL FRUTAS VER 250;;2;202608;30;
53;00077740;703983;PANFI PANCO GALAXIA 70G       ;;4;202607;4;
37;00021060;677195;BISC MARILAN MAIZ FARINHA LACT;;4;202607;5;
37;00016910;677286;BISC MARILAN WAFFER MORANGO   ;;13;202607;2;
37;00016914;677286;BISC MARILAN WAFFER MORANGO   ;;1;202607;2;
60;00054472;699405;ALFAJOR COOPER ENERGY LEITE PO;;7;202608;5;
60;00054474;699413;ALFAJOR COOPER ENERGY AVELA   ;;9;202608;5;
60;00054473;699421;ALFAJOR COOPER ENERGY MORANGO ;;8;202607;5;
53;00079616;686618;ILUMINADOR SOLTO LUXURY FACE B;;1;202608;3;
16;00064862;676726;BOMBOM LACTA OREO 20,1G       ;;21;202608;2;
25;00075388;676726;BOMBOM LACTA OREO 20,1G       ;;14;202608;2;
9;00077482;757062;BISC POLVILHO CRONNS PALITO CE;;7;202607;4;
49;00046123;721274;CHOC LACTA AO LEITE 50,1GR    ;;7;202608;7;
17;00027988;721282;CHOC LACTA LAKA 50,1GR        ;;29;202607;7;
35;00068377;749812;BANANINHA SB ZERO             ;;21;202607;2;
27;00056977;217344;CHOC CHOKITO 32GR             ;;30;202607;3;
56;00061177;217344;CHOC CHOKITO 32GR             ;;47;202607;2;
62;00080116;217344;CHOC CHOKITO 32GR             ;;3;202607;3;
66;00079902;217344;CHOC CHOKITO 32GR             ;;21;202607;3;
40;00078902;217344;CHOC CHOKITO 32GR             ;;7;202607;3;
27;00053422;218626;CHOC TWIX 40GR                ;;18;202607;4;
23;00054177;218626;CHOC TWIX 40GR                ;;18;202607;4;
5;00058308;218626;CHOC TWIX 40GR                ;;4;202607;4;
17;00058320;218626;CHOC TWIX 40GR                ;;14;202607;4;
7;00063803;218626;CHOC TWIX 40GR                ;;35;202607;4;
30;00061353;218626;CHOC TWIX 40GR                ;;14;202607;4;
62;00064552;218626;CHOC TWIX 40GR                ;;10;202607;4;
52;00068386;218626;CHOC TWIX 40GR                ;;13;202607;4;
64;00065271;218626;CHOC TWIX 40GR                ;;4;202607;3;
47;00080166;218626;CHOC TWIX 40GR                ;;6;202607;4;
66;00080947;218626;CHOC TWIX 40GR                ;;3;202607;4;
71;00058221;209767;REFRI COCA COLA MINI 220ML    ;;12;202608;3;
74;00034254;236470;AGUA TON SCHWEPPS CITRUS S/A 3;;5;202607;4;
65;00000347;238317;CHOC CLASSIC DIET 25GR        ;;1;202608;3;
23;00042907;239267;TIC TAC MENTA 14.5 T30        ;;3;202608;2;
72;00028620;263028;SUCO DEL VALLE UVA LT 290ML   ;;4;202608;4;
18;00034354;263028;SUCO DEL VALLE UVA LT 290ML   ;;2;202608;4;
64;00055943;263028;SUCO DEL VALLE UVA LT 290ML   ;;3;202608;4;
5;00070784;263028;SUCO DEL VALLE UVA LT 290ML   ;;5;202608;4;
5;00079309;263028;SUCO DEL VALLE UVA LT 290ML   ;;3;202608;4;
64;00055946;919829;REFRI COCA COLA 350ML         ;;2;202608;4;
17;00060435;919829;REFRI COCA COLA 350ML         ;;12;202608;4;
51;00073715;919829;REFRI COCA COLA 350ML         ;;6;202608;4;
76;00075822;919829;REFRI COCA COLA 350ML         ;;12;202608;4;
51;00073712;936316;ATIV PLUS GUARANA COM ACAI 290;;18;202608;2;
51;00068642;936324;ATIV PLUS GUARANA NATURAL 290M;;19;202608;2;
51;00073713;936324;ATIV PLUS GUARANA NATURAL 290M;;18;202608;2;
51;00078116;975990;FANDANGOS QUEIJO 85G          ;;5;202607;7;
72;00045378;986224;BISS PRETO 100,8G             ;;3;202608;6;
18;00061548;986038;CX BOMBOM LACTA FAVORITOS     ;;46;202608;15;
14;00072997;986038;CX BOMBOM LACTA FAVORITOS     ;;1;202608;15;
23;00076768;986038;CX BOMBOM LACTA FAVORITOS     ;;24;202608;15;
18;00050187;996610;ICE TEA LIMAO 450ML           ;;2;202607;4;
11;00059182;996610;ICE TEA LIMAO 450ML           ;;6;202608;4;
55;00074095;996610;ICE TEA LIMAO 450ML           ;;2;202608;3;
55;00078361;996610;ICE TEA LIMAO 450ML           ;;1;202608;3;
17;00079090;996629;REFRI COCA COLA PET 200ML     ;;12;202607;2;
15;00079140;94331;REFRI COCA COLA ZERO 350ML    ;;6;202607;4;
17;00071408;134503;RUFFLES SAL 115GR             ;;6;202608;12;
9;00077406;134503;RUFFLES SAL 115GR             ;;5;202608;12;
56;00079097;134503;RUFFLES SAL 115GR             ;;8;202608;12;
48;00078494;114782;REFRI COCA COLA ZERO 600 ML   ;;10;202607;5;
10;00045015;205796;BISC CLUB SOCIAL QUEIJO 141G  ;;3;202608;4;
51;00019832;274739;BISC PIRAQUE PRESUNTINHO 100GR;;2;202608;3;
79;00047683;274739;BISC PIRAQUE PRESUNTINHO 100GR;;4;202608;3;
20;00010548;274747;BISC PIRAQUE SALGADINHO 100GR ;;1;202607;3;
60;00024554;274747;BISC PIRAQUE SALGADINHO 100GR ;;4;202607;3;
79;00025274;274747;BISC PIRAQUE SALGADINHO 100GR ;;2;202607;3;
10;00042080;274747;BISC PIRAQUE SALGADINHO 100GR ;;10;202608;3;
27;00006757;274755;BISC PIRAQUE QUEIJO 100GR     ;;4;202607;3;
6;00017275;274755;BISC PIRAQUE QUEIJO 100GR     ;;7;202607;3;
17;00028073;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202607;3;
57;00069570;274755;BISC PIRAQUE QUEIJO 100GR     ;;1;202608;3;
71;00060393;280950;BISC CLUB SOCIAL PRESUNTO 141G;;5;202608;4;
22;00050681;298948;PICOLE MAGNUM WHITE           ;;8;202608;16;
77;00053881;989860;REFRI SPRITE 350ML            ;;4;202608;3;
67;00016776;319198;SEQUILHOS VALEDOURO L COND 350;;6;202607;10;
74;00057956;443948;AGUA CRYSTAL C/GAS 500ML      ;;13;202607;3;
17;00060443;443948;AGUA CRYSTAL C/GAS 500ML      ;;12;202607;3;
5;00070790;443948;AGUA CRYSTAL C/GAS 500ML      ;;8;202607;3;
17;00071411;443948;AGUA CRYSTAL C/GAS 500ML      ;;12;202608;3;
7;00080581;443948;AGUA CRYSTAL C/GAS 500ML      ;;7;202608;3;
23;00067309;446050;REFRI COCA COLA ZERO MINI 220M;;12;202607;3;
5;00003563;475785;BISC PIRAQUE RECH CHOCOLATE 16;;6;202608;3;
20;00010652;475785;BISC PIRAQUE RECH CHOCOLATE 16;;7;202608;3;
51;00019779;475785;BISC PIRAQUE RECH CHOCOLATE 16;;12;202608;3;
60;00024858;475785;BISC PIRAQUE RECH CHOCOLATE 16;;1;202607;3;
74;00034277;475785;BISC PIRAQUE RECH CHOCOLATE 16;;2;202608;3;
69;00036181;475785;BISC PIRAQUE RECH CHOCOLATE 16;;8;202607;3;
47;00040669;475793;BISC PIRAQUE RECH LIMAO 160G  ;;1;202608;3;
56;00006897;475815;BISC PIRAQUE RECH MORANGO 160G;;5;202608;3;
29;00035735;475815;BISC PIRAQUE RECH MORANGO 160G;;8;202608;3;
72;00017963;509345;CO HASKELL DESAM AMETISTA 300M;;1;202607;20;
72;00070916;587028;HERSHEYS MAIS COKIES CREME 102;;11;202608;5;
76;00073856;587028;HERSHEYS MAIS COKIES CREME 102;;12;202608;5;
58;00012154;596531;BEB REFR DV FRUT UVA 450 ML   ;;2;202607;3;
17;00027739;596531;BEB REFR DV FRUT UVA 450 ML   ;;1;202607;3;
23;00043070;596531;BEB REFR DV FRUT UVA 450 ML   ;;5;202607;3;
71;00042819;676896;BISC OREO ORIGINAL 90GRS      ;;1;202607;3;
51;00068693;676780;BALA DE GELATINA TUTTI FRUTI  ;;1;202607;5;
75;00005241;712655;MASC HASKELL POS PROGR 500GR  ;;0;202607;20;
18;00025889;727377;BIS XTRA + CHOCOLATE 45GRS    ;;10;202608;4;
5;00049630;773565;BISC WAFER BAUD CHOC 92G      ;;2;202608;3;
61;00037379;361690;CHOC 5 STAR 40GRS             ;;3;202607;3;
40;00078381;805637;BISC OREO CHOCOLATE 90GRS     ;;5;202607;4;
40;00070962;834505;BISC OREO MILK SHAKE MORAN 90G;;12;202608;4;
53;00077650;878391;PANFI PANCO BAUNILHA 70GRS    ;;2;202607;4;
53;00077651;878391;PANFI PANCO BAUNILHA 70GRS    ;;3;202607;4;
40;00078377;861928;BISS OREO                     ;;4;202607;6;
10;00042289;90282;TORTINHA MARILAN LIMAO 140G   ;;1;202607;3;
53;00077725;108613;PANFI PANCO CHOCOBOY C/BAUN 70;;5;202607;4;
53;00015763;135509;TINT HASKELL 5.56 CAST CL ACAJ;;1;202608;15;
37;00016438;191379;BISC RECH PANCO G.BLACK MORANG;;4;202607;2;
16;00073762;191551;CHEETOS MIX 34G               ;;6;202607;3;
61;00037401;199240;CHOC TRENTO AVELA 29G         ;;1;202608;2;
60;00026936;199299;CHOC TRENTO DARK 29G          ;;5;202608;2;
61;00049509;199299;CHOC TRENTO DARK 29G          ;;1;202608;2;
51;00073691;414607;OURO BRANCO CROCANTE 25G      ;;3;202607;3;
30;00017887;287656;CHOC M&M CRISPY 35G           ;;1;202608;4;
76;00041092;315440;TABLETE HERSH DARK AREADO 85GR;;7;202608;9;
9;00068822;257378;BISC TRAKINAS CHOCOLATE 126GR ;;15;202608;3;
16;00073754;257378;BISC TRAKINAS CHOCOLATE 126GR ;;20;202608;3;
69;00081078;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;4;
17;00080975;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;4;
51;00073718;256743;MATTE LEAO LIMAO 450ML        ;;1;202608;4;
48;00080702;281485;FANDANGOS QUEIJO 37G          ;;1;202607;3;
24;00077095;281485;FANDANGOS QUEIJO 37G          ;;6;202607;3;
37;00020882;270173;BISC PIRAQUE RECH BRIGAD 160GR;;1;202607;3;
37;00021170;270231;BISC PIRAQUE SALGADO 138G     ;;4;202607;4;
5;00003559;270272;BISC PIRAQUE LEIT MALT COB 80G;;5;202607;4;
25;00024224;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202608;4;
74;00034281;270272;BISC PIRAQUE LEIT MALT COB 80G;;8;202608;4;
27;00006844;451195;CHOC LAKA 20G                 ;;17;202607;4;
40;00047984;450841;CHOC LACTA AO LEITE 20GR      ;;20;202608;4;
61;00050587;450841;CHOC LACTA AO LEITE 20GR      ;;7;202608;4;
11;00061761;450841;CHOC LACTA AO LEITE 20GR      ;;2;202608;4;
55;00067192;386151;REFRI SPRITE FRESH LIMAO 510ML;;1;202607;4;
76;00073622;437004;BOLINHO BAUD BAUN/CHOC 40G    ;;4;202608;3;
67;00048160;454934;PICOLE KIBOM MAGNUM ZR ACUCAR ;;6;202608;14;
27;00006842;393629;CHOC TRENTO SPECIALE BRANCO 26;;10;202607;4;
60;00024663;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;2;202607;3;
56;00058423;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;3;
20;00010494;394775;WAFER PIRAQUE LIMAO 100GR     ;;3;202607;3;
17;00028039;394775;WAFER PIRAQUE LIMAO 100GR     ;;1;202608;3;
55;00032081;394775;WAFER PIRAQUE LIMAO 100GR     ;;4;202608;3;
66;00014777;394783;WAFER PIRAQUE MORANGO 100GR   ;;4;202608;3;
30;00018450;394783;WAFER PIRAQUE MORANGO 100GR   ;;1;202608;3;
62;00043661;394783;WAFER PIRAQUE MORANGO 100GR   ;;2;202608;3;
74;00061295;516419;MASC HASKELL ACELERADORA DE FO;;1;202607;20;
41;00067906;516419;MASC HASKELL ACELERADORA DE FO;;1;202607;20;
17;00071407;461566;RUFFLES CHURRASCO 68G         ;;1;202607;7;
25;00075909;461566;RUFFLES CHURRASCO 68G         ;;5;202608;7;
55;00076030;461566;RUFFLES CHURRASCO 68G         ;;6;202608;8;
24;00077086;461566;RUFFLES CHURRASCO 68G         ;;5;202608;7;
61;00037349;461608;TRIDENT XSENSES MORANGO 54G   ;;3;202608;8;
53;00071565;521336;BISC PIRAQUE CREAM CRACKER 184;;36;202608;3;
65;00005877;537498;BISC PIRAQUE LEITE E COCO 132G;;3;202607;3;
66;00014822;537506;BISC PIRAQUE LEITE MALTADO 132;;24;202608;3;
15;00023984;537506;BISC PIRAQUE LEITE MALTADO 132;;10;202608;3;
39;00023675;537506;BISC PIRAQUE LEITE MALTADO 132;;7;202607;3;
74;00034260;537506;BISC PIRAQUE LEITE MALTADO 132;;3;202607;3;
74;00034275;537506;BISC PIRAQUE LEITE MALTADO 132;;2;202608;3;
52;00040576;537506;BISC PIRAQUE LEITE MALTADO 132;;1;202607;3;
23;00043040;537506;BISC PIRAQUE LEITE MALTADO 132;;1;202608;3;
4;00004528;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202607;3;
4;00004531;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202608;3;
37;00018182;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202607;3;
26;00028524;537514;BISC PIRAQUE MALTADO CHOCO 132;;13;202607;3;
53;00035441;537514;BISC PIRAQUE MALTADO CHOCO 132;;8;202607;3;
5;00049615;537514;BISC PIRAQUE MALTADO CHOCO 132;;8;202608;3;
35;00055398;537514;BISC PIRAQUE MALTADO CHOCO 132;;13;202607;3;
69;00074949;537514;BISC PIRAQUE MALTADO CHOCO 132;;1;202607;3;
77;00053820;537522;MASC HASKEL HIDRANUTRE 300G   ;;0;202607;20;
75;00075451;553628;CO WIDI HIDRO-NUTRI 500ML     ;;1;202607;20;
21;00079661;602508;CR HIDRA AFINAR PÃ‰S PELES SENS;;1;202608;10;
9;00043135;616979;CREATINA PURA PROBIOTICA 100G ;;0;202608;40;
51;00067091;626564;CO INF ALVA LARANJA DOCE E BAU;;2;202607;18;
53;00077620;557793;MACARRAO INST T LEGUMES 85G   ;;1;202607;2;
50;00039513;618686;DOCE LEITE C/ CAFÃ‰ PASTOSO BEL;;4;202607;10;
50;00039500;618728;CAIXINHA BELAMA PE DE MOLEQUE ;;2;202608;11;
27;00080542;647032;SHAKE WOD REDUCAO PESO CHOCOLA;;6;202608;12;
50;00080813;647032;SHAKE WOD REDUCAO PESO CHOCOLA;;5;202608;12;
76;00069393;647040;SHAKE WOD REDUCAO PESO MORANGO;;1;202608;12;
3;00054304;647057;SHAKE WOD REDUCAO PESO BAUNILH;;1;202608;12;
21;00053783;647057;SHAKE WOD REDUCAO PESO BAUNILH;;2;202607;8;
50;00039528;618785;DOCE DE LEITE PURO DIET 280GR ;;2;202607;15;
24;00020354;647115;WHEY PROTEIN DOCE DE LEITE C/ ;;0;202608;30;
18;00034191;647115;WHEY PROTEIN DOCE DE LEITE C/ ;;2;202608;30;
34;00076138;647115;WHEY PROTEIN DOCE DE LEITE C/ ;;0;202608;30;
35;00033207;647198;VITAMINA B12 WOD 60 CAPSULAS  ;;0;202607;20;
48;00019087;647255;CURCUMA LONGA 130MG SELENIO VI;;1;202607;20;
53;00016135;589648;RUBY ROSE AGUA MICELAR 300ML  ;;1;202608;12;
50;00039381;588582;BARRA WOD GOURMET BRIGADEIRO  ;;2;202607;5;
43;00065799;588582;BARRA WOD GOURMET BRIGADEIRO  ;;1;202607;5;
24;00073732;588582;BARRA WOD GOURMET BRIGADEIRO  ;;1;202607;5;
79;00025067;588590;BARRA WOD GOURMET COOKIES CREA;;4;202608;5;
10;00042277;588590;BARRA WOD GOURMET COOKIES CREA;;5;202608;5;
74;00077257;599175;GLOSS VIZZELA HOT LIPS CRYSTAL;;5;202608;20;
60;00053607;559203;MASSA PULA E MOLDA CARROS 70G ;;1;202607;10;
37;00020833;590539;BISC PANCO ROSQUINHA BAUNILHA ;;1;202607;8;
37;00017912;590646;BISC PANCO ROSQUINHA CHOCOLATE;;2;202607;8;
51;00056716;623967;RK LAPIS LABIOS MAUVE RMLP14BR;;1;202607;7;
15;00020167;575365;BISC PANCO SEQUILHINHO 200G   ;;3;202607;6;
76;00043982;631945;ACIDIFICANTE WIDI JUBA 500ML  ;;2;202607;20;
53;00023348;642785;ESM BAUNY CLARA               ;;2;202608;6;
53;00023339;642801;ESM BAUNY CRISTAL             ;;2;202608;6;
51;00074191;643031;ESM BAUNY HELENA              ;;4;202608;6;
51;00074189;643064;ESM BAUNY LAURA               ;;1;202607;6;
10;00018688;692186;ILUMINADOR SOLTO LUXURY COR4  ;;1;202608;4;
30;00067932;692186;ILUMINADOR SOLTO LUXURY COR4  ;;4;202608;4;
53;00079622;692186;ILUMINADOR SOLTO LUXURY COR4  ;;6;202608;4;
60;00024198;699413;ALFAJOR COOPER ENERGY AVELA   ;;10;202608;4;
60;00024207;699421;ALFAJOR COOPER ENERGY MORANGO ;;9;202607;4;
72;00045342;699421;ALFAJOR COOPER ENERGY MORANGO ;;1;202607;5;
10;00018687;686618;ILUMINADOR SOLTO LUXURY FACE B;;1;202608;3;
72;00045403;674465;FUNDIPPERZ MINIONS 54G        ;;14;202607;6;
60;00062120;676726;BOMBOM LACTA OREO 20,1G       ;;24;202608;2;
51;00068592;676726;BOMBOM LACTA OREO 20,1G       ;;22;202608;2;
76;00075838;729939;SUCO TIAL MINECRAFT UVA 200ML ;;13;202608;3;
17;00060450;749812;BANANINHA SB ZERO             ;;21;202608;2;
28;00060397;749812;BANANINHA SB ZERO             ;;21;202607;2;
47;00061230;217344;CHOC CHOKITO 32GR             ;;17;202607;3;
16;00073793;217344;CHOC CHOKITO 32GR             ;;22;202607;3;
74;00057963;218626;CHOC TWIX 40GR                ;;7;202607;4;
35;00059537;218626;CHOC TWIX 40GR                ;;1;202607;4;
56;00063509;218626;CHOC TWIX 40GR                ;;18;202607;4;
18;00061597;218626;CHOC TWIX 40GR                ;;10;202607;4;
13;00076060;218626;CHOC TWIX 40GR                ;;14;202608;4;
77;00022827;237566;CHOC MEM FAMILIA 148/132GR    ;;3;202608;10;
60;00026899;238317;CHOC CLASSIC DIET 25GR        ;;10;202608;3;
51;00019897;263028;SUCO DEL VALLE UVA LT 290ML   ;;4;202607;4;
22;00033579;263028;SUCO DEL VALLE UVA LT 290ML   ;;6;202608;4;
28;00046192;263028;SUCO DEL VALLE UVA LT 290ML   ;;3;202608;4;
55;00078362;263028;SUCO DEL VALLE UVA LT 290ML   ;;3;202608;3;
5;00049631;956660;BISC RECH CHOCOLATE 108G      ;;2;202608;3;
76;00041133;957771;BOLINHO BAUD BAUN/CHOCO 40G   ;;34;202608;3;
27;00056294;966592;ICE TEA LIMAO ZERO 450ML      ;;3;202607;3;
65;00079769;975990;FANDANGOS QUEIJO 85G          ;;5;202607;5;
9;00077408;975990;FANDANGOS QUEIJO 85G          ;;5;202607;5;
18;00025861;986224;BISS PRETO 100,8G             ;;1;202608;6;
53;00043511;986224;BISS PRETO 100,8G             ;;55;202608;6;
40;00066293;986275;BISC TRAKINAS MORANGO 126G    ;;9;202608;3;
16;00064458;986038;CX BOMBOM LACTA FAVORITOS     ;;16;202608;16;
53;00043728;986097;BOMBOM OURO BRANCO UN         ;;4;202607;2;
56;00006966;996718;REFRI FANTA UVA 350ML         ;;4;202607;3;
22;00033572;996610;ICE TEA LIMAO 450ML           ;;6;202608;4;
28;00046193;996610;ICE TEA LIMAO 450ML           ;;1;202607;4;
50;00052432;996610;ICE TEA LIMAO 450ML           ;;1;202607;4;
73;00057757;996610;ICE TEA LIMAO 450ML           ;;2;202608;4;
56;00056785;996610;ICE TEA LIMAO 450ML           ;;5;202608;4;
77;00053877;996610;ICE TEA LIMAO 450ML           ;;1;202607;4;
7;00063755;996610;ICE TEA LIMAO 450ML           ;;6;202608;4;
62;00080032;94331;REFRI COCA COLA ZERO 350ML    ;;9;202607;4;
57;00079063;94331;REFRI COCA COLA ZERO 350ML    ;;11;202607;4;
17;00071754;134503;RUFFLES SAL 115GR             ;;3;202608;12;
7;00080475;114782;REFRI COCA COLA ZERO 600 ML   ;;9;202607;5;
51;00068701;274739;BISC PIRAQUE PRESUNTINHO 100GR;;2;202607;3;
10;00042081;274747;BISC PIRAQUE SALGADINHO 100GR ;;4;202607;3;
4;00004560;274755;BISC PIRAQUE QUEIJO 100GR     ;;17;202607;3;
60;00024499;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202607;3;
47;00040646;274755;BISC PIRAQUE QUEIJO 100GR     ;;2;202607;3;
57;00042631;274755;BISC PIRAQUE QUEIJO 100GR     ;;4;202607;3;
79;00047677;274755;BISC PIRAQUE QUEIJO 100GR     ;;2;202607;3;
5;00058301;274755;BISC PIRAQUE QUEIJO 100GR     ;;3;202608;3;
27;00053355;274755;BISC PIRAQUE QUEIJO 100GR     ;;4;202608;3;
7;00063778;274755;BISC PIRAQUE QUEIJO 100GR     ;;11;202608;3;
73;00058723;274755;BISC PIRAQUE QUEIJO 100GR     ;;2;202608;3;
57;00069569;274755;BISC PIRAQUE QUEIJO 100GR     ;;1;202607;3;
16;00073756;274755;BISC PIRAQUE QUEIJO 100GR     ;;6;202608;3;
53;00071579;280950;BISC CLUB SOCIAL PRESUNTO 141G;;17;202608;4;
15;00077116;280950;BISC CLUB SOCIAL PRESUNTO 141G;;4;202608;4;
13;00025596;894826;TODDYNHO 200ML                ;;1;202607;3;
53;00043715;900133;CHOC MeM MINI TUB CHOC 30G    ;;2;202608;4;
79;00015361;989860;REFRI SPRITE 350ML            ;;6;202607;3;
71;00048147;989860;REFRI SPRITE 350ML            ;;1;202608;3;
17;00077063;196738;REFRI COCA COLA 2 LITROS      ;;6;202607;11;
11;00057434;443948;AGUA CRYSTAL C/GAS 500ML      ;;24;202607;2;
27;00057359;443948;AGUA CRYSTAL C/GAS 500ML      ;;12;202607;2;
43;00063877;443948;AGUA CRYSTAL C/GAS 500ML      ;;5;202607;2;
4;00004538;475785;BISC PIRAQUE RECH CHOCOLATE 16;;12;202608;3;
27;00006778;475785;BISC PIRAQUE RECH CHOCOLATE 16;;6;202608;3;
33;00012534;475785;BISC PIRAQUE RECH CHOCOLATE 16;;7;202608;3;
60;00024870;475785;BISC PIRAQUE RECH CHOCOLATE 16;;4;202608;3;
22;00033526;475785;BISC PIRAQUE RECH CHOCOLATE 16;;11;202608;3;
62;00043652;475785;BISC PIRAQUE RECH CHOCOLATE 16;;21;202608;3;
79;00047674;475785;BISC PIRAQUE RECH CHOCOLATE 16;;6;202608;3;
73;00026774;475793;BISC PIRAQUE RECH LIMAO 160G  ;;1;202608;3;
37;00020905;475807;BISC PIRAQUE RECH PRETTY 160G ;;7;202607;3;
33;00012550;475815;BISC PIRAQUE RECH MORANGO 160G;;2;202608;3;
15;00020419;475815;BISC PIRAQUE RECH MORANGO 160G;;3;202608;3;
61;00037675;475815;BISC PIRAQUE RECH MORANGO 160G;;2;202608;3;
62;00043662;475815;BISC PIRAQUE RECH MORANGO 160G;;3;202608;3;
61;00037244;527491;KIT KAT WAFER RECH.45GR       ;;15;202608;3;
35;00045611;648760;BARRA CEREAL NUTRY AVELA/CHOCO;;5;202607;32;
75;00005238;712639;SH HASKELL P.PROGRESSIVA 300ML;;0;202607;30;
5;00003557;773565;BISC WAFER BAUD CHOC 92G      ;;7;202608;3;
53;00035531;805637;BISC OREO CHOCOLATE 90GRS     ;;8;202607;4;
40;00070961;805637;BISC OREO CHOCOLATE 90GRS     ;;7;202607;4;
65;00000316;850896;BIS XTRA OREO 45GRS           ;;2;202607;3;
18;00025880;850896;BIS XTRA OREO 45GRS           ;;4;202608;4;
67;00017205;883115;CHOC LACTA AO LEITE 90/80GRS  ;;4;202608;8;
33;00012651;883115;CHOC LACTA AO LEITE 90/80GRS  ;;3;202608;8;
53;00077653;878413;PANFI PANCO MORANGO 70GRS     ;;8;202607;4;
40;00011945;94201;MOUSE GAME MO228              ;;3;202608;30;
53;00015857;135863;TINT HASKELL 9.21 LOU MTO CLA ;;1;202608;15;
40;00078376;156323;BISS BLACK                    ;;6;202607;6;
9;00077410;195891;BATATA LAYS CLASSICA 62G      ;;2;202607;8;
66;00041427;227801;VASO DECORA 99948             ;;1;202607;4;
24;00020177;261826;BONOBON ARCOR BEIJINHO 15G    ;;19;202607;1;
18;00034361;261826;BONOBON ARCOR BEIJINHO 15G    ;;15;202607;1;
76;00075809;261842;WAFER TORTUGUITA CHOCOLATE 85G;;29;202607;3;
18;00061624;291518;HERSHEYS CHOCOTUBES COKIES 25G;;13;202607;3;
30;00061354;291518;HERSHEYS CHOCOTUBES COKIES 25G;;10;202607;3;
53;00077622;328054;CAPSULA CAFE C/ LEITE 3C      ;;1;202607;15;
11;00061778;257378;BISC TRAKINAS CHOCOLATE 126GR ;;24;202608;3;
13;00076067;257378;BISC TRAKINAS CHOCOLATE 126GR ;;11;202608;3;
57;00079605;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;8;
35;00077376;281519;CHEETOS ONDA REQUEIJAO 90G    ;;1;202607;8;
56;00080536;281519;CHEETOS ONDA REQUEIJAO 90G    ;;6;202608;8;
53;00077624;328070;CAPUCCINO CLASSIC 3C 200GR    ;;12;202608;14;
69;00081096;281485;FANDANGOS QUEIJO 37G          ;;7;202607;3;
37;00021165;270231;BISC PIRAQUE SALGADO 138G     ;;29;202607;4;
51;00073708;270231;BISC PIRAQUE SALGADO 138G     ;;6;202607;4;
33;00012635;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202608;4;
24;00020282;270272;BISC PIRAQUE LEIT MALT COB 80G;;2;202608;4;
37;00017860;270272;BISC PIRAQUE LEIT MALT COB 80G;;9;202607;4;
22;00033482;270272;BISC PIRAQUE LEIT MALT COB 80G;;4;202608;4;
35;00055377;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202608;4;
51;00019709;351692;MINI OREO 35G                 ;;4;202608;3;
61;00037385;333914;CHOC TRENTO DUO 29G           ;;4;202607;2;
38;00025220;451195;CHOC LAKA 20G                 ;;4;202607;3;
18;00050714;451195;CHOC LAKA 20G                 ;;6;202607;3;
64;00055962;450841;CHOC LACTA AO LEITE 20GR      ;;1;202608;3;
23;00052784;450841;CHOC LACTA AO LEITE 20GR      ;;39;202608;3;
11;00061758;450841;CHOC LACTA AO LEITE 20GR      ;;40;202608;3;
55;00069485;450841;CHOC LACTA AO LEITE 20GR      ;;6;202608;3;
74;00034255;420059;SUCO DEL VALE 100% MACA 200ML ;;3;202607;3;
24;00020169;384362;BARRA PROTEIN BRIGADEIRO 45G  ;;2;202607;4;
