filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
74;00034283;676896;BISC OREO ORIGINAL 90GRS      ;;2;202608;3;
41;00067904;712639;SH HASKELL P.PROGRESSIVA 300ML;;1;202607;19;
74;00034263;773565;BISC WAFER BAUD CHOC 92G      ;;1;202607;3;
60;00026949;773247;MENTOS GOMA PURE FRUIT 3L     ;;4;202607;2;
61;00049561;773271;MENTOS GOMA SPEARMINT 3L      ;;7;202607;2;
10;00042292;90282;TORTINHA MARILAN LIMAO 140G   ;;2;202608;3,5;
10;00042294;90282;TORTINHA MARILAN LIMAO 140G   ;;1;202608;3,5;
53;00077733;108605;PANFI PANCO BRIGADEIRO 70G    ;;3;202607;3,5;
78;00018699;135996;LEAVE IN HASKELL SELANTE CAVAL;;1;202607;19;
30;00017991;199240;CHOC TRENTO AVELA 29G         ;;2;202608;1,99;
51;00068739;414607;OURO BRANCO CROCANTE 25G      ;;4;202607;pack promocional;
24;00020179;261826;BONOBON ARCOR BEIJINHO 15G    ;;4;202607;1;
23;00077742;291518;HERSHEYS CHOCOTUBES COKIES 25G;;6;202607;1,99;
9;00077464;257378;BISC TRAKINAS CHOCOLATE 126GR ;;6;202608;2,99;
62;00080077;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;7,99;
65;00079772;281519;CHEETOS ONDA REQUEIJAO 90G    ;;1;202607;7,99;
71;00012780;256743;MATTE LEAO LIMAO 450ML        ;;2;202608;3,99;
74;00034270;256743;MATTE LEAO LIMAO 450ML        ;;9;202608;3,99;
11;00057440;256743;MATTE LEAO LIMAO 450ML        ;;2;202608;3,99;
60;00074863;281485;FANDANGOS QUEIJO 37G          ;;7;202607;3;
56;00079102;281485;FANDANGOS QUEIJO 37G          ;;3;202607;3;
3;00079249;281485;FANDANGOS QUEIJO 37G          ;;2;202607;3;
78;00005310;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202607;3;
15;00020488;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202608;3;
37;00017852;270272;BISC PIRAQUE LEIT MALT COB 80G;;11;202607;3;
37;00017813;270272;BISC PIRAQUE LEIT MALT COB 80G;;11;202607;3;
64;00038142;270272;BISC PIRAQUE LEIT MALT COB 80G;;1;202608;3;
71;00050134;451195;CHOC LAKA 20G                 ;;20;202607;2,5;
51;00073686;451195;CHOC LAKA 20G                 ;;8;202607;2,5;
52;00058084;450841;CHOC LACTA AO LEITE 20GR      ;;16;202608;2,5;
12;00062772;450841;CHOC LACTA AO LEITE 20GR      ;;8;202608;2,5;
51;00019862;420059;SUCO DEL VALE 100% MACA 200ML ;;3;202607;2,5;
56;00068188;386151;REFRI SPRITE FRESH LIMAO 510ML;;1;202607;3;
18;00074147;386151;REFRI SPRITE FRESH LIMAO 510ML;;24;202608;3;
20;00011199;460352;MASC TRAT A FLORA RESCONSTRUTO;;2;202607;29;
77;00023282;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;2;202608;esta com pack promocional;
35;00057745;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;esta com pack promocional;
35;00068364;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;esta com pack promocional;
77;00023278;394775;WAFER PIRAQUE LIMAO 100GR     ;;1;202607;esta com pack promocional;
25;00024272;394783;WAFER PIRAQUE MORANGO 100GR   ;;1;202608;esta com pack promocional;
28;00041260;394783;WAFER PIRAQUE MORANGO 100GR   ;;3;202608;esta com pack promocional;
53;00023303;464057;ESM BAUNY NOAH                ;;3;202608;4;
8;00034668;514034;BISC PIRAQUE MAIZENA TRAD 175G;;5;202608;0;
10;00042100;514034;BISC PIRAQUE MAIZENA TRAD 175G;;34;202607;0;
11;00036866;516419;MASC HASKELL ACELERADORA DE FO;;0;202607;29;
11;00036871;516435;MASC HASKELL BRILHO ESPELHADO ;;0;202607;35;
